rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.757657,2465.0,1.0,0.1922,1,938000
2,ATEEZ,KQ Entertainment,0.574406,1190.0,0.4828,0.7882,4,5290000
3,i-dle,Cube Entertainment,0.300568,2.0,0.0008,1.0,1,9780000
4,IVE,Starship Entertainment,0.296693,219.0,0.0888,0.7817,2,5190000
5,MAMAMOO,RBW,0.263039,0.0,0.0,0.8768,0,6840000
6,YENA,Yuehua Entertainment,0.170233,289.0,0.1172,0.2939,2,1260000
7,Kep1er,WakeOne,0.160634,0.0,0.0,0.5354,0,2540000
8,izna,WakeOne,0.145701,29.0,0.0118,0.4582,1,2030000
9,KiiiKiii,Starship Entertainment,0.145112,511.0,0.2073,0.0,1,537000
10,ZEROBASEONE,WakeOne,0.145073,11.0,0.0045,0.4732,1,2120000
11,ONEUS,RBW,0.128966,59.0,0.0239,0.374,1,1590000
12,STAYC,High Up Entertainment,0.128424,0.0,0.0,0.4281,0,1860000
13,P1Harmony,FNC Entertainment,0.122123,0.0,0.0,0.4071,0,1750000
14,PLAVE,VLAST,0.08738,15.0,0.0061,0.2771,1,1200000
15,CIX,C9 Entertainment,0.064273,0.0,0.0,0.2142,0,1000000
