rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763125,2636.0,1.0,0.2104,2,1210000
2,ATEEZ,KQ Entertainment,0.527456,1096.0,0.4158,0.788,4,5610000
3,KiiiKiii,Starship Entertainment,0.351328,1323.0,0.5019,0.0,2,692000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9850000
5,IVE,Starship Entertainment,0.282027,200.0,0.0759,0.7631,2,5250000
6,MAMAMOO,RBW,0.258637,0.0,0.0,0.8621,0,6830000
7,Kep1er,WakeOne,0.146449,0.0,0.0,0.4882,0,2530000
8,ZEROBASEONE,WakeOne,0.143206,63.0,0.0239,0.4216,1,2120000
9,izna,WakeOne,0.122683,0.0,0.0,0.4089,0,2050000
10,STAYC,High Up Entertainment,0.111696,0.0,0.0,0.3723,0,1860000
11,P1Harmony,FNC Entertainment,0.106093,0.0,0.0,0.3536,0,1770000
12,ONEUS,RBW,0.093978,0.0,0.0,0.3133,0,1590000
13,YENA,Yuehua Entertainment,0.072095,0.0,0.0,0.2403,0,1310000
14,PLAVE,VLAST,0.070685,32.0,0.0121,0.2073,1,1200000
15,CIX,C9 Entertainment,0.041591,0.0,0.0,0.1386,0,1000000
