rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.752007,1326.0,1.0,0.1734,1,859000
2,ATEEZ,KQ Entertainment,0.512837,526.0,0.3967,0.7839,4,5170000
3,IVE,Starship Entertainment,0.340213,199.0,0.1501,0.7839,2,5170000
4,i-dle,Cube Entertainment,0.301056,2.0,0.0015,1.0,1,9760000
5,MAMAMOO,RBW,0.263723,0.0,0.0,0.8791,0,6840000
6,Kep1er,WakeOne,0.162637,0.0,0.0,0.5421,0,2540000
7,izna,WakeOne,0.158771,36.0,0.0271,0.4659,1,2030000
8,ZEROBASEONE,WakeOne,0.148416,8.0,0.006,0.4806,1,2120000
9,KiiiKiii,Starship Entertainment,0.14095,267.0,0.2014,0.0,1,516000
10,ONEUS,RBW,0.13173,32.0,0.0241,0.3828,1,1590000
11,STAYC,High Up Entertainment,0.130842,0.0,0.0,0.4361,0,1860000
12,YENA,Yuehua Entertainment,0.126184,68.0,0.0513,0.301,2,1250000
13,P1Harmony,FNC Entertainment,0.124036,0.0,0.0,0.4135,0,1740000
14,PLAVE,VLAST,0.100048,28.0,0.0211,0.2842,1,1190000
15,CIX,C9 Entertainment,0.067516,0.0,0.0,0.2251,0,1000000
