rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.757601,2861.0,1.0,0.192,1,960000
2,ATEEZ,KQ Entertainment,0.57406,1380.0,0.4823,0.7881,4,5320000
3,KiiiKiii,Starship Entertainment,0.39979,1634.0,0.5711,0.0,2,553000
4,i-dle,Cube Entertainment,0.300489,2.0,0.0007,1.0,1,9780000
5,IVE,Starship Entertainment,0.289574,227.0,0.0793,0.7801,2,5200000
6,MAMAMOO,RBW,0.262661,0.0,0.0,0.8755,0,6840000
7,ZEROBASEONE,WakeOne,0.178748,157.0,0.0549,0.4678,2,2120000
8,YENA,Yuehua Entertainment,0.159491,297.0,0.1038,0.2894,2,1270000
9,Kep1er,WakeOne,0.15921,0.0,0.0,0.5307,0,2540000
10,izna,WakeOne,0.1429,29.0,0.0101,0.4527,1,2030000
11,STAYC,High Up Entertainment,0.126671,0.0,0.0,0.4222,0,1860000
12,ONEUS,RBW,0.124727,59.0,0.0206,0.3676,1,1590000
13,P1Harmony,FNC Entertainment,0.120305,0.0,0.0,0.401,0,1750000
14,PLAVE,VLAST,0.084574,15.0,0.0052,0.2697,1,1200000
15,CIX,C9 Entertainment,0.061864,0.0,0.0,0.2062,0,1000000
