rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763261,2082.0,1.0,0.2109,2,1100000
2,ATEEZ,KQ Entertainment,0.59574,1067.0,0.5125,0.79,4,5480000
3,KiiiKiii,Starship Entertainment,0.516427,1536.0,0.7378,0.0,2,613000
4,i-dle,Cube Entertainment,0.302017,6.0,0.0029,1.0,1,9810000
5,IVE,Starship Entertainment,0.285534,160.0,0.0768,0.7725,2,5220000
6,MAMAMOO,RBW,0.260825,0.0,0.0,0.8694,0,6830000
7,ZEROBASEONE,WakeOne,0.223681,266.0,0.1278,0.4475,2,2120000
8,Kep1er,WakeOne,0.153804,0.0,0.0,0.5127,0,2540000
9,izna,WakeOne,0.131767,5.0,0.0024,0.4336,1,2040000
10,P1Harmony,FNC Entertainment,0.122854,26.0,0.0125,0.3804,1,1760000
11,STAYC,High Up Entertainment,0.120092,0.0,0.0,0.4003,0,1860000
12,ONEUS,RBW,0.103122,0.0,0.0,0.3437,0,1590000
13,YENA,Yuehua Entertainment,0.079658,0.0,0.0,0.2655,0,1280000
14,PLAVE,VLAST,0.072675,0.0,0.0,0.2423,0,1200000
15,CIX,C9 Entertainment,0.052949,0.0,0.0,0.1765,0,1000000
