rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763434,3021.0,1.0,0.2114,2,1170000
2,ATEEZ,KQ Entertainment,0.51612,1209.0,0.4002,0.7866,4,5530000
3,KiiiKiii,Starship Entertainment,0.358921,1549.0,0.5127,0.0,2,661000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.273327,187.0,0.0619,0.7667,2,5240000
6,MAMAMOO,RBW,0.259437,0.0,0.0,0.8648,0,6830000
7,Kep1er,WakeOne,0.14911,0.0,0.0,0.497,0,2530000
8,ZEROBASEONE,WakeOne,0.145689,70.0,0.0232,0.4316,1,2120000
9,izna,WakeOne,0.127361,7.0,0.0023,0.4191,1,2050000
10,STAYC,High Up Entertainment,0.114934,0.0,0.0,0.3831,0,1860000
11,P1Harmony,FNC Entertainment,0.109424,0.0,0.0,0.3647,0,1770000
12,ONEUS,RBW,0.09751,0.0,0.0,0.325,0,1590000
13,PLAVE,VLAST,0.075747,41.0,0.0136,0.2208,1,1200000
14,YENA,Yuehua Entertainment,0.075139,0.0,0.0,0.2505,0,1300000
15,CIX,C9 Entertainment,0.045992,0.0,0.0,0.1533,0,1000000
