rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,KiiiKiii,Starship Entertainment,0.7,3906.0,1.0,0.0,2,568000
2,RESCENE,THE MUZE Entertainment,0.591797,2972.0,0.7609,0.1973,2,996000
3,ATEEZ,KQ Entertainment,0.49876,1460.0,0.3738,0.7904,4,5390000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9790000
5,IVE,Starship Entertainment,0.270247,206.0,0.0527,0.7778,2,5200000
6,MAMAMOO,RBW,0.262216,0.0,0.0,0.8741,0,6840000
7,ZEROBASEONE,WakeOne,0.202582,356.0,0.0911,0.4626,2,2120000
8,Kep1er,WakeOne,0.157829,0.0,0.0,0.5261,0,2540000
9,izna,WakeOne,0.138314,20.0,0.0051,0.4491,1,2040000
10,STAYC,High Up Entertainment,0.124996,0.0,0.0,0.4167,0,1860000
11,YENA,Yuehua Entertainment,0.121886,207.0,0.053,0.2826,1,1270000
12,P1Harmony,FNC Entertainment,0.118572,0.0,0.0,0.3952,0,1750000
13,ONEUS,RBW,0.117071,48.0,0.0123,0.3616,1,1590000
14,PLAVE,VLAST,0.079353,3.0,0.0008,0.2627,1,1200000
15,CIX,C9 Entertainment,0.059603,0.0,0.0,0.1987,0,1000000
