rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.765348,2481.0,1.0,0.2178,2,1130000
2,ATEEZ,KQ Entertainment,0.594367,1266.0,0.5103,0.7906,4,5500000
3,KiiiKiii,Starship Entertainment,0.498831,1768.0,0.7126,0.0,2,619000
4,i-dle,Cube Entertainment,0.301693,6.0,0.0024,1.0,1,9810000
5,IVE,Starship Entertainment,0.282849,182.0,0.0734,0.7717,2,5220000
6,MAMAMOO,RBW,0.260687,0.0,0.0,0.869,0,6830000
7,ZEROBASEONE,WakeOne,0.211535,276.0,0.1112,0.4455,2,2120000
8,Kep1er,WakeOne,0.153288,0.0,0.0,0.511,0,2540000
9,izna,WakeOne,0.132873,12.0,0.0048,0.4316,2,2040000
10,P1Harmony,FNC Entertainment,0.120793,26.0,0.0105,0.3782,1,1760000
11,STAYC,High Up Entertainment,0.119458,0.0,0.0,0.3982,0,1860000
12,ONEUS,RBW,0.102428,0.0,0.0,0.3414,0,1590000
13,YENA,Yuehua Entertainment,0.079726,0.0,0.0,0.2658,0,1290000
14,PLAVE,VLAST,0.071874,0.0,0.0,0.2396,0,1200000
15,CIX,C9 Entertainment,0.052078,0.0,0.0,0.1736,0,1000000
