rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763898,3009.0,1.0,0.213,2,1200000
2,ATEEZ,KQ Entertainment,0.52176,1226.0,0.4074,0.7885,4,5590000
3,KiiiKiii,Starship Entertainment,0.364307,1566.0,0.5204,0.0,2,679000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.272564,186.0,0.0618,0.7643,2,5240000
6,MAMAMOO,RBW,0.259029,0.0,0.0,0.8634,0,6830000
7,Kep1er,WakeOne,0.147594,0.0,0.0,0.492,0,2530000
8,ZEROBASEONE,WakeOne,0.14404,70.0,0.0233,0.4259,1,2120000
9,izna,WakeOne,0.128175,18.0,0.006,0.4133,1,2050000
10,STAYC,High Up Entertainment,0.113074,0.0,0.0,0.3769,0,1860000
11,P1Harmony,FNC Entertainment,0.107509,0.0,0.0,0.3584,0,1770000
12,ONEUS,RBW,0.095475,0.0,0.0,0.3182,0,1590000
13,PLAVE,VLAST,0.073436,41.0,0.0136,0.213,1,1200000
14,YENA,Yuehua Entertainment,0.072879,0.0,0.0,0.2429,0,1300000
15,CIX,C9 Entertainment,0.04344,0.0,0.0,0.1448,0,1000000
