rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.764404,2542.0,1.0,0.2147,2,1180000
2,ATEEZ,KQ Entertainment,0.577033,1236.0,0.4862,0.7889,4,5560000
3,KiiiKiii,Starship Entertainment,0.403698,1466.0,0.5767,0.0,2,661000
4,i-dle,Cube Entertainment,0.301652,6.0,0.0024,1.0,1,9830000
5,IVE,Starship Entertainment,0.2791,178.0,0.07,0.7669,2,5240000
6,MAMAMOO,RBW,0.259534,0.0,0.0,0.8651,0,6830000
7,izna,WakeOne,0.154976,106.0,0.0417,0.4193,1,2050000
8,ZEROBASEONE,WakeOne,0.149895,74.0,0.0291,0.4317,1,2120000
9,Kep1er,WakeOne,0.149167,0.0,0.0,0.4972,0,2530000
10,STAYC,High Up Entertainment,0.114977,0.0,0.0,0.3833,0,1860000
11,P1Harmony,FNC Entertainment,0.109465,0.0,0.0,0.3649,0,1770000
12,ONEUS,RBW,0.097546,0.0,0.0,0.3252,0,1590000
13,YENA,Yuehua Entertainment,0.075167,0.0,0.0,0.2506,0,1300000
14,PLAVE,VLAST,0.071779,20.0,0.0079,0.2209,1,1200000
15,CIX,C9 Entertainment,0.04601,0.0,0.0,0.1534,0,1000000
