rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763971,2523.0,1.0,0.2132,2,1160000
2,ATEEZ,KQ Entertainment,0.584584,1254.0,0.497,0.7889,4,5540000
3,KiiiKiii,Starship Entertainment,0.433373,1562.0,0.6191,0.0,2,650000
4,i-dle,Cube Entertainment,0.301665,6.0,0.0024,1.0,1,9830000
5,IVE,Starship Entertainment,0.281632,185.0,0.0733,0.7677,2,5230000
6,MAMAMOO,RBW,0.259784,0.0,0.0,0.8659,0,6830000
7,izna,WakeOne,0.15544,103.0,0.0408,0.4229,1,2050000
8,ZEROBASEONE,WakeOne,0.151102,74.0,0.0293,0.4352,1,2120000
9,Kep1er,WakeOne,0.150098,0.0,0.0,0.5003,0,2530000
10,STAYC,High Up Entertainment,0.11612,0.0,0.0,0.3871,0,1860000
11,P1Harmony,FNC Entertainment,0.110016,0.0,0.0,0.3667,0,1760000
12,ONEUS,RBW,0.098797,0.0,0.0,0.3293,0,1590000
13,YENA,Yuehua Entertainment,0.075703,0.0,0.0,0.2523,0,1290000
14,PLAVE,VLAST,0.073265,20.0,0.0079,0.2257,1,1200000
15,CIX,C9 Entertainment,0.047579,0.0,0.0,0.1586,0,1000000
