rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.756574,2582.0,1.0,0.1886,1,914000
2,ATEEZ,KQ Entertainment,0.539903,1121.0,0.4342,0.7866,4,5240000
3,IVE,Starship Entertainment,0.300958,244.0,0.0945,0.7827,2,5180000
4,i-dle,Cube Entertainment,0.300542,2.0,0.0008,1.0,1,9770000
5,MAMAMOO,RBW,0.263369,0.0,0.0,0.8779,0,6840000
6,Kep1er,WakeOne,0.161588,0.0,0.0,0.5386,0,2540000
7,YENA,Yuehua Entertainment,0.14866,218.0,0.0844,0.2985,1,1260000
8,izna,WakeOne,0.146422,29.0,0.0112,0.4619,1,2030000
9,ZEROBASEONE,WakeOne,0.145999,11.0,0.0043,0.4767,1,2120000
10,KiiiKiii,Starship Entertainment,0.14206,524.0,0.2029,0.0,1,527000
11,STAYC,High Up Entertainment,0.129574,0.0,0.0,0.4319,0,1860000
12,ONEUS,RBW,0.129455,59.0,0.0229,0.3782,1,1590000
13,P1Harmony,FNC Entertainment,0.123311,0.0,0.0,0.411,0,1750000
14,PLAVE,VLAST,0.088612,15.0,0.0058,0.2818,1,1200000
15,CIX,C9 Entertainment,0.065813,0.0,0.0,0.2194,0,1000000
