rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,KiiiKiii,Starship Entertainment,0.7,3922.0,1.0,0.0,2,566000
2,RESCENE,THE MUZE Entertainment,0.584111,2943.0,0.7504,0.1961,2,990000
3,ATEEZ,KQ Entertainment,0.489008,1412.0,0.36,0.79,4,5380000
4,i-dle,Cube Entertainment,0.300357,2.0,0.0005,1.0,1,9790000
5,IVE,Starship Entertainment,0.272856,221.0,0.0563,0.778,2,5200000
6,MAMAMOO,RBW,0.262262,0.0,0.0,0.8742,0,6840000
7,ZEROBASEONE,WakeOne,0.201986,353.0,0.09,0.4633,2,2120000
8,Kep1er,WakeOne,0.158005,0.0,0.0,0.5267,0,2540000
9,izna,WakeOne,0.14011,29.0,0.0074,0.4498,1,2040000
10,STAYC,High Up Entertainment,0.125213,0.0,0.0,0.4174,0,1860000
11,YENA,Yuehua Entertainment,0.123607,216.0,0.0551,0.2835,1,1270000
12,ONEUS,RBW,0.119236,59.0,0.015,0.3624,1,1590000
13,P1Harmony,FNC Entertainment,0.118797,0.0,0.0,0.396,0,1750000
14,PLAVE,VLAST,0.081766,15.0,0.0038,0.2636,1,1200000
15,CIX,C9 Entertainment,0.059901,0.0,0.0,0.1997,0,1000000
