rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.724404,2911.0,0.9519,0.1935,2,977000
2,KiiiKiii,Starship Entertainment,0.7,3058.0,1.0,0.0,2,562000
3,ATEEZ,KQ Entertainment,0.554025,1386.0,0.4532,0.7892,4,5360000
4,i-dle,Cube Entertainment,0.300458,2.0,0.0007,1.0,1,9790000
5,IVE,Starship Entertainment,0.284624,223.0,0.0729,0.7786,2,5200000
6,MAMAMOO,RBW,0.262356,0.0,0.0,0.8745,0,6840000
7,ZEROBASEONE,WakeOne,0.20897,304.0,0.0994,0.4646,2,2120000
8,Kep1er,WakeOne,0.158358,0.0,0.0,0.5279,0,2540000
9,izna,WakeOne,0.141982,29.0,0.0095,0.4511,1,2040000
10,YENA,Yuehua Entertainment,0.141901,246.0,0.0804,0.2853,1,1270000
11,STAYC,High Up Entertainment,0.125646,0.0,0.0,0.4188,0,1860000
12,ONEUS,RBW,0.122686,59.0,0.0193,0.3639,1,1590000
13,P1Harmony,FNC Entertainment,0.119247,0.0,0.0,0.3975,0,1750000
14,PLAVE,VLAST,0.083071,15.0,0.0049,0.2655,1,1200000
15,CIX,C9 Entertainment,0.060497,0.0,0.0,0.2017,0,1000000
