rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.765465,2478.0,1.0,0.2182,2,1150000
2,ATEEZ,KQ Entertainment,0.593785,1263.0,0.5097,0.79,4,5520000
3,KiiiKiii,Starship Entertainment,0.466667,1652.0,0.6667,0.0,2,632000
4,i-dle,Cube Entertainment,0.301695,6.0,0.0024,1.0,1,9820000
5,IVE,Starship Entertainment,0.283081,184.0,0.0743,0.7703,2,5230000
6,MAMAMOO,RBW,0.260293,0.0,0.0,0.8676,0,6830000
7,ZEROBASEONE,WakeOne,0.171619,139.0,0.0561,0.4412,2,2120000
8,Kep1er,WakeOne,0.151689,0.0,0.0,0.5056,0,2530000
9,izna,WakeOne,0.138882,38.0,0.0153,0.4272,2,2040000
10,P1Harmony,FNC Entertainment,0.119347,26.0,0.0105,0.3733,1,1760000
11,STAYC,High Up Entertainment,0.118045,0.0,0.0,0.3935,0,1860000
12,ONEUS,RBW,0.100894,0.0,0.0,0.3363,0,1590000
13,YENA,Yuehua Entertainment,0.078028,0.0,0.0,0.2601,0,1290000
14,PLAVE,VLAST,0.070119,0.0,0.0,0.2337,0,1200000
15,CIX,C9 Entertainment,0.050181,0.0,0.0,0.1673,0,1000000
