rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.764288,2998.0,1.0,0.2143,2,1200000
2,ATEEZ,KQ Entertainment,0.524812,1235.0,0.4119,0.7882,4,5580000
3,KiiiKiii,Starship Entertainment,0.368446,1578.0,0.5264,0.0,2,676000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.271438,180.0,0.06,0.7647,2,5240000
6,MAMAMOO,RBW,0.259097,0.0,0.0,0.8637,0,6830000
7,Kep1er,WakeOne,0.147846,0.0,0.0,0.4928,0,2530000
8,ZEROBASEONE,WakeOne,0.144384,70.0,0.0233,0.4268,1,2120000
9,izna,WakeOne,0.130349,26.0,0.0087,0.4143,1,2050000
10,STAYC,High Up Entertainment,0.113383,0.0,0.0,0.3779,0,1860000
11,P1Harmony,FNC Entertainment,0.107827,0.0,0.0,0.3594,0,1770000
12,ONEUS,RBW,0.095813,0.0,0.0,0.3194,0,1590000
13,PLAVE,VLAST,0.073861,41.0,0.0137,0.2143,1,1200000
14,YENA,Yuehua Entertainment,0.073255,0.0,0.0,0.2442,0,1300000
15,CIX,C9 Entertainment,0.043864,0.0,0.0,0.1462,0,1000000
