rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,1.0,443.0,1.0,,1,
2,ATEEZ,KQ Entertainment,0.476298,211.0,0.4763,,3,
3,IVE,Starship Entertainment,0.286682,127.0,0.2867,,2,
4,KiiiKiii,Starship Entertainment,0.200903,89.0,0.2009,,1,
5,izna,WakeOne,0.110609,49.0,0.1106,,1,
6,PLAVE,VLAST,0.085779,38.0,0.0858,,1,
7,ZEROBASEONE,WakeOne,0.027088,12.0,0.0271,,1,
8,YENA,Yuehua Entertainment,0.009029,4.0,0.009,,1,
9,CIX,C9 Entertainment,0.0,0.0,0.0,,0,
10,Kep1er,WakeOne,0.0,0.0,0.0,,0,
11,MAMAMOO,RBW,0.0,0.0,0.0,,0,
12,ONEUS,RBW,0.0,0.0,0.0,,0,
13,P1Harmony,FNC Entertainment,0.0,0.0,0.0,,0,
14,STAYC,High Up Entertainment,0.0,0.0,0.0,,0,
15,i-dle,Cube Entertainment,0.0,0.0,0.0,,0,
