rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.752873,2203.0,1.0,0.1762,1,872000
2,ATEEZ,KQ Entertainment,0.50793,858.0,0.3895,0.7843,4,5190000
3,IVE,Starship Entertainment,0.314224,249.0,0.113,0.7837,2,5180000
4,i-dle,Cube Entertainment,0.300635,2.0,0.0009,1.0,1,9770000
5,MAMAMOO,RBW,0.263536,0.0,0.0,0.8785,0,6840000
6,Kep1er,WakeOne,0.162219,0.0,0.0,0.5407,0,2540000
7,izna,WakeOne,0.150735,36.0,0.0163,0.4643,1,2030000
8,ZEROBASEONE,WakeOne,0.146275,8.0,0.0036,0.4791,1,2120000
9,KiiiKiii,Starship Entertainment,0.141398,445.0,0.202,0.0,1,520000
10,STAYC,High Up Entertainment,0.130351,0.0,0.0,0.4345,0,1860000
11,YENA,Yuehua Entertainment,0.12688,117.0,0.0531,0.299,2,1250000
12,ONEUS,RBW,0.124478,32.0,0.0145,0.381,1,1590000
13,P1Harmony,FNC Entertainment,0.12353,0.0,0.0,0.4118,0,1740000
14,PLAVE,VLAST,0.094425,28.0,0.0127,0.2851,1,1200000
15,CIX,C9 Entertainment,0.066881,0.0,0.0,0.2229,0,1000000
