rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763554,2612.0,1.0,0.2118,2,1070000
2,KiiiKiii,Starship Entertainment,0.630858,2354.0,0.9012,0.0,1,590000
3,ATEEZ,KQ Entertainment,0.587624,1307.0,0.5004,0.7912,4,5450000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9800000
5,IVE,Starship Entertainment,0.274623,157.0,0.0601,0.7752,2,5210000
6,MAMAMOO,RBW,0.261453,0.0,0.0,0.8715,0,6830000
7,ZEROBASEONE,WakeOne,0.216683,299.0,0.1145,0.4552,2,2120000
8,Kep1er,WakeOne,0.155849,0.0,0.0,0.5195,0,2540000
9,izna,WakeOne,0.135394,11.0,0.0042,0.4415,1,2040000
10,P1Harmony,FNC Entertainment,0.123044,26.0,0.01,0.3869,1,1750000
11,STAYC,High Up Entertainment,0.122584,0.0,0.0,0.4086,0,1860000
12,ONEUS,RBW,0.111467,21.0,0.008,0.3528,1,1590000
13,YENA,Yuehua Entertainment,0.091261,32.0,0.0123,0.2756,1,1280000
14,PLAVE,VLAST,0.075795,0.0,0.0,0.2527,0,1200000
15,CIX,C9 Entertainment,0.056331,0.0,0.0,0.1878,0,1000000
