rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.764917,2480.0,1.0,0.2164,2,1140000
2,ATEEZ,KQ Entertainment,0.594255,1266.0,0.5105,0.7897,4,5510000
3,KiiiKiii,Starship Entertainment,0.476169,1687.0,0.6802,0.0,2,629000
4,i-dle,Cube Entertainment,0.301694,6.0,0.0024,1.0,1,9820000
5,IVE,Starship Entertainment,0.283158,184.0,0.0742,0.7707,2,5230000
6,MAMAMOO,RBW,0.260361,0.0,0.0,0.8679,0,6830000
7,ZEROBASEONE,WakeOne,0.184862,185.0,0.0746,0.4421,2,2120000
8,Kep1er,WakeOne,0.151945,0.0,0.0,0.5065,0,2530000
9,izna,WakeOne,0.135219,24.0,0.0097,0.4281,2,2040000
10,P1Harmony,FNC Entertainment,0.119666,26.0,0.0105,0.3744,1,1760000
11,STAYC,High Up Entertainment,0.118361,0.0,0.0,0.3945,0,1860000
12,ONEUS,RBW,0.101238,0.0,0.0,0.3375,0,1590000
13,YENA,Yuehua Entertainment,0.078412,0.0,0.0,0.2614,0,1290000
14,PLAVE,VLAST,0.070517,0.0,0.0,0.2351,0,1200000
15,CIX,C9 Entertainment,0.050613,0.0,0.0,0.1687,0,1000000
