rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,KiiiKiii,Starship Entertainment,0.7,3549.0,1.0,0.0,2,579000
2,RESCENE,THE MUZE Entertainment,0.666275,3063.0,0.8631,0.2071,2,1040000
3,ATEEZ,KQ Entertainment,0.533328,1501.0,0.4229,0.7909,4,5420000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9790000
5,IVE,Starship Entertainment,0.27312,203.0,0.0572,0.7769,2,5210000
6,MAMAMOO,RBW,0.261959,0.0,0.0,0.8732,0,6840000
7,ZEROBASEONE,WakeOne,0.208695,360.0,0.1014,0.459,2,2120000
8,Kep1er,WakeOne,0.156865,0.0,0.0,0.5229,0,2540000
9,izna,WakeOne,0.137553,20.0,0.0056,0.4454,1,2040000
10,STAYC,High Up Entertainment,0.123809,0.0,0.0,0.4127,0,1860000
11,P1Harmony,FNC Entertainment,0.117342,0.0,0.0,0.3911,0,1750000
12,ONEUS,RBW,0.116637,48.0,0.0135,0.3572,1,1590000
13,YENA,Yuehua Entertainment,0.110986,136.0,0.0383,0.2805,1,1280000
14,PLAVE,VLAST,0.077907,3.0,0.0008,0.2577,1,1200000
15,CIX,C9 Entertainment,0.057973,0.0,0.0,0.1932,0,1000000
