rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763874,2982.0,1.0,0.2129,2,1190000
2,ATEEZ,KQ Entertainment,0.527204,1238.0,0.4152,0.7886,4,5580000
3,KiiiKiii,Starship Entertainment,0.374883,1597.0,0.5355,0.0,2,672000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.269707,171.0,0.0573,0.7652,2,5240000
6,MAMAMOO,RBW,0.259187,0.0,0.0,0.864,0,6830000
7,Kep1er,WakeOne,0.148182,0.0,0.0,0.4939,0,2530000
8,ZEROBASEONE,WakeOne,0.144852,70.0,0.0235,0.4281,1,2120000
9,izna,WakeOne,0.133118,36.0,0.0121,0.4156,1,2050000
10,STAYC,High Up Entertainment,0.113796,0.0,0.0,0.3793,0,1860000
11,P1Harmony,FNC Entertainment,0.108252,0.0,0.0,0.3608,0,1770000
12,ONEUS,RBW,0.096264,0.0,0.0,0.3209,0,1590000
13,PLAVE,VLAST,0.074434,41.0,0.0137,0.216,1,1200000
14,YENA,Yuehua Entertainment,0.073756,0.0,0.0,0.2459,0,1300000
15,CIX,C9 Entertainment,0.04443,0.0,0.0,0.1481,0,1000000
