rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.763589,2964.0,1.0,0.212,2,1180000
2,ATEEZ,KQ Entertainment,0.530834,1246.0,0.4204,0.7886,4,5570000
3,KiiiKiii,Starship Entertainment,0.388731,1646.0,0.5553,0.0,2,667000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.268493,164.0,0.0553,0.7659,2,5240000
6,MAMAMOO,RBW,0.259301,0.0,0.0,0.8643,0,6830000
7,Kep1er,WakeOne,0.148604,0.0,0.0,0.4953,0,2530000
8,ZEROBASEONE,WakeOne,0.145428,70.0,0.0236,0.4297,1,2120000
9,izna,WakeOne,0.141685,70.0,0.0236,0.4172,1,2050000
10,STAYC,High Up Entertainment,0.114312,0.0,0.0,0.381,0,1860000
11,P1Harmony,FNC Entertainment,0.108784,0.0,0.0,0.3626,0,1770000
12,ONEUS,RBW,0.09683,0.0,0.0,0.3228,0,1590000
13,PLAVE,VLAST,0.075145,41.0,0.0138,0.2182,1,1200000
14,YENA,Yuehua Entertainment,0.074384,0.0,0.0,0.2479,0,1300000
15,CIX,C9 Entertainment,0.04514,0.0,0.0,0.1505,0,1000000
