rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.762989,2556.0,1.0,0.21,2,1080000
2,ATEEZ,KQ Entertainment,0.590348,1289.0,0.5043,0.7911,4,5470000
3,KiiiKiii,Starship Entertainment,0.5732,2093.0,0.8189,0.0,1,601000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9800000
5,IVE,Starship Entertainment,0.276126,160.0,0.0626,0.7744,2,5220000
6,MAMAMOO,RBW,0.261198,0.0,0.0,0.8707,0,6830000
7,ZEROBASEONE,WakeOne,0.214344,288.0,0.1127,0.4516,2,2120000
8,Kep1er,WakeOne,0.154471,0.0,0.0,0.5149,0,2530000
9,izna,WakeOne,0.13435,11.0,0.0043,0.4378,1,2040000
10,P1Harmony,FNC Entertainment,0.121979,26.0,0.0102,0.3829,1,1750000
11,STAYC,High Up Entertainment,0.12141,0.0,0.0,0.4047,0,1860000
12,ONEUS,RBW,0.110306,21.0,0.0082,0.3485,1,1590000
13,YENA,Yuehua Entertainment,0.084808,13.0,0.0051,0.2708,1,1280000
14,PLAVE,VLAST,0.074312,0.0,0.0,0.2477,0,1200000
15,CIX,C9 Entertainment,0.054718,0.0,0.0,0.1824,0,1000000
