rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,KiiiKiii,Starship Entertainment,0.7,3535.0,1.0,0.0,2,564000
2,RESCENE,THE MUZE Entertainment,0.63899,2932.0,0.8294,0.1947,2,983000
3,ATEEZ,KQ Entertainment,0.513312,1396.0,0.3949,0.7896,4,5370000
4,i-dle,Cube Entertainment,0.300396,2.0,0.0006,1.0,1,9790000
5,IVE,Starship Entertainment,0.277455,222.0,0.0628,0.7783,2,5200000
6,MAMAMOO,RBW,0.262309,0.0,0.0,0.8744,0,6840000
7,ZEROBASEONE,WakeOne,0.209083,353.0,0.0999,0.4639,2,2120000
8,Kep1er,WakeOne,0.158181,0.0,0.0,0.5273,0,2540000
9,izna,WakeOne,0.140882,29.0,0.0082,0.4505,1,2040000
10,YENA,Yuehua Entertainment,0.130669,229.0,0.0648,0.2844,1,1270000
11,STAYC,High Up Entertainment,0.125429,0.0,0.0,0.4181,0,1860000
12,ONEUS,RBW,0.120626,59.0,0.0167,0.3631,1,1590000
13,P1Harmony,FNC Entertainment,0.119022,0.0,0.0,0.3967,0,1750000
14,PLAVE,VLAST,0.082333,15.0,0.0042,0.2645,1,1200000
15,CIX,C9 Entertainment,0.060198,0.0,0.0,0.2007,0,1000000
