rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.757187,2863.0,1.0,0.1906,1,952000
2,ATEEZ,KQ Entertainment,0.573748,1380.0,0.482,0.7878,4,5310000
3,i-dle,Cube Entertainment,0.300489,2.0,0.0007,1.0,1,9780000
4,IVE,Starship Entertainment,0.290437,231.0,0.0807,0.7799,2,5190000
5,KiiiKiii,Starship Entertainment,0.279218,1142.0,0.3989,0.0,2,550000
6,MAMAMOO,RBW,0.262731,0.0,0.0,0.8758,0,6840000
7,ZEROBASEONE,WakeOne,0.167042,108.0,0.0377,0.4688,2,2120000
8,YENA,Yuehua Entertainment,0.163267,311.0,0.1086,0.2908,2,1270000
9,Kep1er,WakeOne,0.159476,0.0,0.0,0.5316,0,2540000
10,izna,WakeOne,0.143205,29.0,0.0101,0.4537,1,2030000
11,STAYC,High Up Entertainment,0.126998,0.0,0.0,0.4233,0,1860000
12,ONEUS,RBW,0.125076,59.0,0.0206,0.3688,1,1590000
13,P1Harmony,FNC Entertainment,0.120644,0.0,0.0,0.4021,0,1750000
14,PLAVE,VLAST,0.084985,15.0,0.0052,0.2711,1,1200000
15,CIX,C9 Entertainment,0.062314,0.0,0.0,0.2077,0,1000000
