rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.76372,2973.0,1.0,0.2124,2,1180000
2,ATEEZ,KQ Entertainment,0.540809,1292.0,0.4346,0.7887,4,5570000
3,KiiiKiii,Starship Entertainment,0.380962,1618.0,0.5442,0.0,2,666000
4,i-dle,Cube Entertainment,0.3,0.0,0.0,1.0,0,9840000
5,IVE,Starship Entertainment,0.268651,165.0,0.0555,0.766,2,5240000
6,MAMAMOO,RBW,0.259323,0.0,0.0,0.8644,0,6830000
7,Kep1er,WakeOne,0.148688,0.0,0.0,0.4956,0,2530000
8,ZEROBASEONE,WakeOne,0.145473,70.0,0.0235,0.43,1,2120000
9,izna,WakeOne,0.137024,50.0,0.0168,0.4175,1,2050000
10,STAYC,High Up Entertainment,0.114416,0.0,0.0,0.3814,0,1860000
11,P1Harmony,FNC Entertainment,0.10889,0.0,0.0,0.363,0,1770000
12,ONEUS,RBW,0.096943,0.0,0.0,0.3231,0,1590000
13,PLAVE,VLAST,0.075246,41.0,0.0138,0.2186,1,1200000
14,YENA,Yuehua Entertainment,0.07451,0.0,0.0,0.2484,0,1300000
15,CIX,C9 Entertainment,0.045282,0.0,0.0,0.1509,0,1000000
