rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.756819,2553.0,1.0,0.1894,1,919000
2,ATEEZ,KQ Entertainment,0.552516,1154.0,0.452,0.787,4,5250000
3,IVE,Starship Entertainment,0.301,241.0,0.0944,0.7831,2,5190000
4,i-dle,Cube Entertainment,0.300548,2.0,0.0008,1.0,1,9770000
5,MAMAMOO,RBW,0.263321,0.0,0.0,0.8777,0,6840000
6,Kep1er,WakeOne,0.161408,0.0,0.0,0.538,0,2540000
7,YENA,Yuehua Entertainment,0.157832,250.0,0.0979,0.2976,2,1260000
8,izna,WakeOne,0.146302,29.0,0.0114,0.4612,1,2030000
9,ZEROBASEONE,WakeOne,0.145829,11.0,0.0043,0.476,1,2120000
10,KiiiKiii,Starship Entertainment,0.142577,520.0,0.2037,0.0,1,529000
11,ONEUS,RBW,0.129394,59.0,0.0231,0.3774,1,1590000
12,STAYC,High Up Entertainment,0.129353,0.0,0.0,0.4312,0,1860000
13,P1Harmony,FNC Entertainment,0.123081,0.0,0.0,0.4103,0,1750000
14,PLAVE,VLAST,0.088379,15.0,0.0059,0.2809,1,1200000
15,CIX,C9 Entertainment,0.065509,0.0,0.0,0.2184,0,1000000
