rank,artist_name,sub_agency,score,chart_momentum_raw,chart_momentum_norm,youtube_subs_norm,platforms_hit,youtube_subscribers
1,RESCENE,THE MUZE Entertainment,0.764008,2955.0,1.0,0.2134,2,1180000
2,ATEEZ,KQ Entertainment,0.537174,1269.0,0.4294,0.7885,4,5560000
3,KiiiKiii,Starship Entertainment,0.400338,1690.0,0.5719,0.0,2,664000
4,i-dle,Cube Entertainment,0.301421,6.0,0.002,1.0,1,9830000
5,IVE,Starship Entertainment,0.272132,178.0,0.0602,0.7666,2,5240000
6,MAMAMOO,RBW,0.259466,0.0,0.0,0.8649,0,6830000
7,Kep1er,WakeOne,0.148913,0.0,0.0,0.4964,0,2530000
8,izna,WakeOne,0.147524,93.0,0.0315,0.4183,1,2050000
9,ZEROBASEONE,WakeOne,0.146761,74.0,0.025,0.4308,1,2120000
10,STAYC,High Up Entertainment,0.114666,0.0,0.0,0.3822,0,1860000
11,P1Harmony,FNC Entertainment,0.109145,0.0,0.0,0.3638,0,1770000
12,ONEUS,RBW,0.097206,0.0,0.0,0.324,0,1590000
13,YENA,Yuehua Entertainment,0.074789,0.0,0.0,0.2493,0,1300000
14,PLAVE,VLAST,0.070617,20.0,0.0068,0.2196,1,1200000
15,CIX,C9 Entertainment,0.045583,0.0,0.0,0.1519,0,1000000
