track_id,agency,sub_agency,artist_name_en,track_name,release_date,track_type,youtube_video_id,artwork_url,selection_reason,status,platforms,first_seen,last_seen
trk_4385d0e22e4d,HYBE,BIGHIT MUSIC,CORTIS,REDRED,,chart,Q-ItC3Xcl3c,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_d91d53be7619,HYBE,BIGHIT MUSIC,CORTIS,TNT,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/300x300bb.jpg,chart:apple|chart:spaceshower,active,apple|spaceshower,2026-07-26,2026-08-07
trk_c7a7e1fb7dab,HYBE,BIGHIT MUSIC,CORTIS,What You Want,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/92/39/cf/9239cfbe-7b2e-598f-cef2-ddfb98bed8b5/198704622304_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_6542fd2f52f8,HYBE,BIGHIT MUSIC,CORTIS,YOUNGCREATORCREW,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_72326ba1fb1d,HYBE,BELIFT LAB,ENHYPEN,Shine On Me,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-24
trk_11ee4c1b8b2a,HYBE,BELIFT LAB,ILLIT,Almond Chocolate,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tcGFkb3E3cDU5b2RpJnM9anA2JnQ9bSZ1PTFnMXBldTB0YzNwMDAmaT0w/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_fe568dcd67e8,HYBE,BELIFT LAB,ILLIT,I Got Your Back,,chart,RnerBUsjaUM,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a2/07/0e/a2070e8c-686c-26a9-2c8c-dfbd7586f7c4/26UMGIM79032.rgb.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-31,2026-08-06
trk_5eeb53e07d6b,HYBE,BELIFT LAB,ILLIT,It's Me,,chart,a9NDoFxm_1w,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/cc/76/26/cc76262a-dc2e-0746-ed85-070a56d23d40/26UMGIM46377.rgb.jpg/300x300bb.jpg,chart:apple|chart:line|chart:spaceshower|youtube,active,apple|line|spaceshower|youtube,2026-07-17,2026-08-07
trk_4a6a679f3d4e,HYBE,BELIFT LAB,ILLIT,Lucky Girl Syndrome,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_48b7e43a1746,HYBE,BELIFT LAB,ILLIT,Magnetic,,chart,utNShaAyNDU,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/300x300bb.jpg,chart:apple|chart:line|chart:spaceshower|youtube,active,apple|line|spaceshower|youtube,2026-07-17,2026-08-07
