date,agency,sub_agency,artist_name,youtube_subscribers,youtube_total_views,youtube_video_count,youtube_channel_thumbnail,wikipedia_pv_ja,wikipedia_pv_en
2026-08-14,HYBE,BIGHIT MUSIC,BTS,85600000,28822539445,3090,https://yt3.ggpht.com/NNG93LntJGDpMlGYIhavu2n4gREs7CNbNT8jjG-7dpotBa5uQDHhuOL8e_oU4ihzWhlwdCmsJw0=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,13800000,4411232675,3689,https://yt3.ggpht.com/szxD808Z-3bBfSyTp3aXWNE9gP5f4Dg4V01YTnxSoAsFOYuwOQoNbdSedwloSgM5VmqI_02WYw=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,PLEDIS Entertainment,SEVENTEEN,17800000,8719087543,3804,https://yt3.ggpht.com/ZGqaImntHbCllA_dkYLrc5kH8JE1KNSy2bP7vkWsXjFXgNSzsP2it9qHh7oaQLLJL25B48C2TA=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,BELIFT LAB,ENHYPEN,14100000,5045018523,2762,https://yt3.ggpht.com/DZ3yFL6peM3ASY-9ndbMPaiwac3-VrCDLxhO3WigI60mCahs0GQZuv0SFIbH1TmrPUWrlwEV=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,SOURCE MUSIC,LE SSERAFIM,8500000,6631980535,3185,https://yt3.ggpht.com/nR0oJ7FTLOQZQkQejg1k4Cki6Nz5ohOtN_2rWlED43DXOa8iNAQlWL1ytaUAbL4YQTtHmCtjs3s=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,ADOR,NewJeans,8620000,5285388095,768,https://yt3.ggpht.com/seIPyT29v_T3KcqQ1aHoAC8qHBVH4Pz4pPa1qpZL623ypce3of75-uA5US-TZyk5WwZLUO0n3A=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,BELIFT LAB,ILLIT,6260000,3966359579,1784,https://yt3.ggpht.com/omgJ9l8hONzRjRJAApTi_6GG-Ok-uV8Qy3g1QIeDKFTlQQ2GjmNowhBpb3MVOYQBukSXy2vCHg=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,KOZ Entertainment,BOYNEXTDOOR,2430000,1608988165,2795,https://yt3.ggpht.com/3CNusQ-yHAorKVery-WeErV06f6UV6fhBZi5MqhHNVaVp2uCzqSNvUU8RIXXXHWwvicj-1-i0w=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,(旧PLEDIS→契約終了),fromis_9,350000,740390799,320,https://yt3.ggpht.com/NbXUWrLtSxZrb2PhQuAGJm00jr9cpIxOFYR_Ls-XEWB7lW_uCrbsqFtYfpHN7VxtZl7wBpbovQ=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,HYBE LABELS JAPAN,&TEAM,1610000,772779871,2005,https://yt3.ggpht.com/dtmxh5z7wOuvbinhQmetOZ1Sw1SdMiKvFEXg9U5drSh-uanInMzA7G2DHsv8QtM5MddWxW73=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,SOURCE MUSIC,GFRIEND,2390000,759888522,575,https://yt3.ggpht.com/rWpvfaie6hfpZ2A-vxr3Ov3ionP-49l81BZp4-YPw9FVTWre80zYZ0M7AkIrsOB-MTn3CnxFzw=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,HYBE America(Geffen Records),KATSEYE,12900000,10197932474,1394,https://yt3.ggpht.com/zPT-8po4FM5aAeOBcHBpfy1bh3Ulks7p1SvHkbi1zSPlRWWte_xSi4EoOt_eCrOCqBgxJwIwsg=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,HYBE,BIGHIT MUSIC,CORTIS,6380000,1944582326,937,https://yt3.ggpht.com/aN2_mVp--4Xv7X1wR66RaMTJS9v8a1bTzxQjfRbfQ13SPOI_j0F4PjrgNfGrpFypBKX6ngColw=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,JYP,JYP Entertainment,TWICE,19400000,9296012973,2522,https://yt3.ggpht.com/rj-m7CQIV8hIHx_lB8cjs0NxrDFJaUkVwZ5tCnZTNSVEr2IqXGF-2e7nr7og1IGeRXtHikce=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,JYP,JYP Entertainment,Stray Kids,24700000,12387565815,2244,https://yt3.ggpht.com/CIofqs6QaCJq7bD8vo_C1__1udt4A7rIpbnOna8v09Q2NPlO5F-rAmAxZKciQRY0w-_40XEA2pA=s88-c-k-c0x00ffffff-no-rj,,
2026-08-14,JYP,JYP Entertainment,ITZY,10000000,4240446924,2635,https://yt3.ggpht.com/7mseSxNNVqaEHWf8X8IiJwJFHyA8PGXpFriAAtZNcuq6PrW7Kx2JDDRViKaODn7uekjwAs02MQ=s88-c-k-c0x00ffffff-no-rj,,
