chart_date,agency,charted_tracks,chart_size,share_pct
2026-07-31,(未登録),4,40,10.0
2026-07-31,HYBE,13,40,32.5
2026-07-31,JYP,4,40,10.0
2026-07-31,OTHER,8,40,20.0
2026-07-31,SM,8,40,20.0
2026-07-31,YG,3,40,7.5
