chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-18,(未登録),1,40,2.5
2026-09-18,HYBE,10,40,25.0
2026-09-18,JYP,9,40,22.5
2026-09-18,OTHER,5,40,12.5
2026-09-18,SM,11,40,27.5
2026-09-18,YG,4,40,10.0
