chart_date,rank,track_name,artist_name_local,spaceshower_artist_id,spaceshower_song_id,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-09-11,1,Sunburst,RIIZE,025507,0167414,SM,SM Entertainment,RIIZE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,2,This & That,Stray Kids,023639,0167399,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,3,Bloody Paradise,ENHYPEN,024052,0167416,HYBE,BELIFT LAB,ENHYPEN,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,4,セツナハナビ (Setsuna Hanabi),TOMORROW X TOGETHER,023125,0167415,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,5,イグジステンス,ZEROBASEONE,025369,0167393,OTHER,WakeOne,ZEROBASEONE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,6,IF I,TREASURE,023958,0166690,YG,YG Entertainment,TREASURE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,7,ME+YOU,TWICE,022033,0164938,JYP,JYP Entertainment,TWICE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,8,YO-I-DON!,NCT WISH,025668,0167111,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,9,ICONIC HEART,Hearts2Hearts,026520,0167298,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,10,"I Got Your Back (Feat.JISOO, MOMOKA of HANA)",ILLIT,025726,0167187,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,11,SODA SODA,TWS,026406,0167310,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,12,LUCID DREAM,IVE,024926,0166595,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,13,Do It,Stray Kids,023639,0165306,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,14,KISS N TELL,aespa,025310,0167302,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,15,BAD(Japanese Ver.),ATEEZ,023506,0167220,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,16,Stick With You,TOMORROW X TOGETHER,023125,0166231,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,17,CEREMONY,Stray Kids,023639,0164488,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-11,18,TNT,CORTIS,026486,0166443,HYBE,BIGHIT MUSIC,CORTIS,confirmed,https://tv.spaceshower.jp/p/00089521/
