chart_date,rank,track_name,artist_name_local,spaceshower_artist_id,spaceshower_song_id,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-09-18,1,This & That,Stray Kids,023639,0167399,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,2,BORN DIRE,ALPHA DRIVE ONE,026823,0167518,,,,,https://tv.spaceshower.jp/p/00089521/
2026-09-18,3,Bloody Paradise,ENHYPEN,024052,0167416,HYBE,BELIFT LAB,ENHYPEN,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,4,Sunburst,RIIZE,025507,0167414,SM,SM Entertainment,RIIZE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,5,Blingy,NCT 127,022619,0167463,SM,SM Entertainment,NCT 127,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,6,YO-I-DON!,NCT WISH,025668,0167111,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,7,イグジステンス,ZEROBASEONE,025369,0167393,OTHER,WakeOne,ZEROBASEONE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,8,セツナハナビ (Setsuna Hanabi),TOMORROW X TOGETHER,023125,0167415,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,9,ME+YOU,TWICE,022033,0164938,JYP,JYP Entertainment,TWICE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,10,LUCID DREAM,IVE,024926,0166595,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,11,"I Got Your Back (Feat.JISOO, MOMOKA of HANA)",ILLIT,025726,0167187,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,12,SODA SODA,TWS,026406,0167310,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,13,Stick With You,TOMORROW X TOGETHER,023125,0166231,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,14,KISS N TELL,aespa,025310,0167302,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,15,ICONIC HEART,Hearts2Hearts,026520,0167298,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,16,Do It,Stray Kids,023639,0165306,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,17,BAD(Japanese Ver.),ATEEZ,023506,0167220,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,18,CEREMONY,Stray Kids,023639,0164488,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,19,IF I,TREASURE,023958,0166690,YG,YG Entertainment,TREASURE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,20,Born Savage,PLAVE,026243,0166299,OTHER,VLAST,PLAVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,21,Vision Wings,WayV ,024061,0167462,SM,SM Entertainment,WayV,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,22,LEMONADE,aespa,025310,0166693,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,23,When I'm With You,NCT DREAM,024060,0161719,SM,SM Entertainment,NCT DREAM,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,24,Walkin On Water,Stray Kids,023639,0162098,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,25,CHOOM,BABYMONSTER,025737,0166533,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,26,Beat-Boxer,NEXZ,025812,0165114,JYP,JYP Entertainment Japan(Sony Music Japan),NEXZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,27,Chk Chk Boom,Stray Kids,023639,0160434,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,28,SWIM,BTS,020394,0166039,HYBE,BIGHIT MUSIC,BTS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,29,CHILLER,NCT DREAM,024060,0164275,SM,SM Entertainment,NCT DREAM,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,30,WE GO UP,BABYMONSTER,025737,0164952,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,31,Hot Mess,aespa,025310,0160187,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,32,THUNDER,SEVENTEEN,021927,0163621,HYBE,PLEDIS Entertainment,SEVENTEEN,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,33,GO,BLACKPINK,022154,0165880,YG,YG Entertainment,BLACKPINK,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,34,Crown,EXO,020281,0166082,SM,SM Entertainment,EXO,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,35,Love Me Like This,NMIXX,025116,0155411,JYP,JYP Entertainment,NMIXX,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,36,CAKE,ITZY,024629,0157133,JYP,JYP Entertainment,ITZY,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,37,Pop Off Pop Off,KiiiKiii,026203,0167309,OTHER,Starship Entertainment,KiiiKiii,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,38,HOT,LE SSERAFIM,024900,0162899,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,39,I Feel Good,BOYNEXTDOOR,025298,0163473,HYBE,KOZ Entertainment,BOYNEXTDOOR,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-18,40,時よ止まれ,ILLIT,025726,0164493,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
