chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-25,(未登録),6,40,15.0
2026-09-25,HYBE,12,40,30.0
2026-09-25,JYP,6,40,15.0
2026-09-25,OTHER,6,40,15.0
2026-09-25,SM,8,40,20.0
2026-09-25,YG,2,40,5.0
