chart_date,rank,track_name,artist_name_local,spaceshower_artist_id,spaceshower_song_id,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-08-21,1,SODA SODA,TWS,026406,0167310,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,2,BAD(Japanese Ver.),ATEEZ,023506,0167220,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,3,"I Got Your Back (Feat.JISOO, MOMOKA of HANA)",ILLIT,025726,0167187,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,4,KISS N TELL,aespa,025310,0167302,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,5,YO-I-DON!,NCT WISH,025668,0167111,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,6,IF I,TREASURE,023958,0166690,YG,YG Entertainment,TREASURE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,7,LUCID DREAM,IVE,024926,0166595,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,8,Lemon Tang,Hearts2Hearts,026520,0166858,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,9,SWIM,BTS,020394,0166039,HYBE,BIGHIT MUSIC,BTS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,10,LEMONADE,aespa,025310,0166693,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,11,Walkin On Water,Stray Kids,023639,0162098,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,12,時よ止まれ,ILLIT,025726,0164493,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-21,13,Ice Cream,YEONJUN,026001,0167071,,,,,https://tv.spaceshower.jp/p/00089521/
