chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-04,(未登録),2,40,5.0
2026-09-04,HYBE,13,40,32.5
2026-09-04,JYP,7,40,17.5
2026-09-04,OTHER,8,40,20.0
2026-09-04,SM,6,40,15.0
2026-09-04,YG,4,40,10.0
