chart_date,agency,charted_tracks,chart_size,share_pct
2026-07-24,(未登録),3,40,7.5
2026-07-24,HYBE,17,40,42.5
2026-07-24,JYP,4,40,10.0
2026-07-24,OTHER,6,40,15.0
2026-07-24,SM,6,40,15.0
2026-07-24,YG,4,40,10.0
