chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-07,(未登録),4,40,10.0
2026-08-07,HYBE,13,40,32.5
2026-08-07,JYP,5,40,12.5
2026-08-07,OTHER,8,40,20.0
2026-08-07,SM,7,40,17.5
2026-08-07,YG,3,40,7.5
