chart_date,rank,track_name,artist_name_local,spaceshower_artist_id,spaceshower_song_id,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-08-07,1,YO-I-DON!,NCT WISH,025668,0167111,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,2,Lemon Tang,Hearts2Hearts,026520,0166858,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,3,Do your dance,RIIZE,025507,0166764,SM,SM Entertainment,RIIZE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,4,Ice Cream,YEONJUN,026001,0167071,,,,,https://tv.spaceshower.jp/p/00089521/
2026-08-07,5,LUCID DREAM,IVE,024926,0166595,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,6,IF I,TREASURE,023958,0166690,YG,YG Entertainment,TREASURE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,7,LEMONADE,aespa,025310,0166693,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,8,TNT,CORTIS,026486,0166443,HYBE,BIGHIT MUSIC,CORTIS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,9,BAD,ATEEZ,023506,0167017,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,10,SWIM,BTS,020394,0166039,HYBE,BIGHIT MUSIC,BTS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,11,Walkin On Water,Stray Kids,023639,0162098,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,12,CHOOM,BABYMONSTER,025737,0166533,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,13,NOT CUTE ANYMORE,ILLIT,025726,0165260,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,14,Under,ONEUS,023354,0167164,OTHER,RBW,ONEUS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,15,MUAH!,VAYONN,026866,0167055,,,,,https://tv.spaceshower.jp/p/00089521/
2026-08-07,16,VIRAL,BOYNEXTDOOR,025298,0166719,HYBE,KOZ Entertainment,BOYNEXTDOOR,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,17,Hot Mess,aespa,025310,0160187,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,18,時よ止まれ,ILLIT,025726,0164493,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,19,Curious,AND2BLE,026824,0166677,,,,,https://tv.spaceshower.jp/p/00089521/
2026-08-07,20,BOOMPALA,LE SSERAFIM,024900,0166568,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,21,Do It,Stray Kids,023639,0165306,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,22,Magnetic,ILLIT,025726,0159261,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,23,singasong,V8,026850,0166911,,,,,https://tv.spaceshower.jp/p/00089521/
2026-08-07,24,CEREMONY,Stray Kids,023639,0164488,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,25,It's Me,ILLIT,025726,0166442,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,26,今 -明日 世界が終わっても-,SEVENTEEN,021927,0156670,HYBE,PLEDIS Entertainment,SEVENTEEN,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,27,METRONOME,izna,026093,0166968,OTHER,WakeOne,izna,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,28,GO!,CORTIS,026486,0164503,HYBE,BIGHIT MUSIC,CORTIS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,29,はじめまして,TWS,026406,0163972,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,30,TOP 5,ZEROBASEONE,025369,0166596,OTHER,WakeOne,ZEROBASEONE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,31,WE GO UP,BABYMONSTER,025737,0164952,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,32,BLACKHOLE,IVE,024926,0166099,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,33,Be Alright,IVE,024926,0164082,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,34,Chk Chk Boom,Stray Kids,023639,0160434,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,35,Yet To Come (The Most Beautiful Moment),BTS,020394,0152295,HYBE,BIGHIT MUSIC,BTS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,36,Sticky,NCT WISH,025668,0166418,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,37,MANIAC,Stray Kids,023639,0151508,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-08-07,38,Born Savage,PLAVE,026243,0166299,OTHER,VLAST,PLAVE,confirmed,https://tv.spaceshower.jp/p/00089521/
