chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-21,(未登録),4,40,10.0
2026-08-21,HYBE,15,40,37.5
2026-08-21,JYP,5,40,12.5
2026-08-21,OTHER,7,40,17.5
2026-08-21,SM,6,40,15.0
2026-08-21,YG,3,40,7.5
