chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-11,HYBE,14,40,35.0
2026-09-11,JYP,7,40,17.5
2026-09-11,OTHER,6,40,15.0
2026-09-11,SM,9,40,22.5
2026-09-11,YG,4,40,10.0
