date,country,agency,charted_tracks,chart_size,share_pct
2026-08-05,jp,(未登録K-pop),1,100,1.0
2026-08-05,jp,HYBE,2,100,2.0
2026-08-05,jp,OTHER,1,100,1.0
2026-08-05,jp,SM,2,100,2.0
2026-08-05,kr,(未登録K-pop),29,100,29.0
2026-08-05,kr,HYBE,23,100,23.0
2026-08-05,kr,JYP,1,100,1.0
2026-08-05,kr,OTHER,8,100,8.0
2026-08-05,kr,SM,17,100,17.0
2026-08-05,kr,YG,3,100,3.0
