date,country,agency,charted_tracks,chart_size,share_pct
2026-09-02,jp,(未登録K-pop),1,100,1.0
2026-09-02,jp,HYBE,2,100,2.0
2026-09-02,jp,OTHER,1,100,1.0
2026-09-02,kr,(未登録K-pop),36,100,36.0
2026-09-02,kr,HYBE,22,100,22.0
2026-09-02,kr,JYP,1,100,1.0
2026-09-02,kr,OTHER,10,100,10.0
2026-09-02,kr,SM,13,100,13.0
2026-09-02,kr,YG,5,100,5.0
