date,country,agency,charted_tracks,chart_size,share_pct
2026-08-19,jp,(未登録K-pop),1,100,1.0
2026-08-19,jp,HYBE,2,100,2.0
2026-08-19,jp,OTHER,1,100,1.0
2026-08-19,jp,SM,2,100,2.0
2026-08-19,kr,(未登録K-pop),28,100,28.0
2026-08-19,kr,HYBE,18,100,18.0
2026-08-19,kr,JYP,1,100,1.0
2026-08-19,kr,OTHER,15,100,15.0
2026-08-19,kr,SM,17,100,17.0
2026-08-19,kr,YG,4,100,4.0
2026-08-19,us,HYBE,1,100,1.0
