date,country,agency,charted_tracks,chart_size,share_pct
2026-09-17,kr,(未登録K-pop),41,100,41.0
2026-09-17,kr,HYBE,18,100,18.0
2026-09-17,kr,JYP,1,100,1.0
2026-09-17,kr,OTHER,9,100,9.0
2026-09-17,kr,SM,14,100,14.0
2026-09-17,kr,YG,3,100,3.0
