date,country,agency,charted_tracks,chart_size,share_pct
2026-08-25,jp,HYBE,2,100,2.0
2026-08-25,jp,OTHER,1,100,1.0
2026-08-25,kr,(未登録K-pop),25,100,25.0
2026-08-25,kr,HYBE,27,100,27.0
2026-08-25,kr,JYP,1,100,1.0
2026-08-25,kr,OTHER,12,100,12.0
2026-08-25,kr,SM,13,100,13.0
2026-08-25,kr,YG,9,100,9.0
