rank,track_id,artist_name_en,track_name,agency,sub_agency,score,chart_delta,chart_recent,chart_prev,is_new_hits,youtube_views,youtube_likes,youtube_comments,platforms_hit,platforms,youtube_video_id,agency_logo_url,artist_image_url,artwork_url,youtube_thumbnail_url
1,trk_46179551e4b5,Hearts2Hearts,ICONIC HEART,SM,SM Entertainment,0.84062,190.0,202.0,12.0,0,1484599,107923,1783,2,apple_kr|line,JCyf5heNFOE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/SM_Entertainment_Logo.svg/330px-SM_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNTZkcmcwZzZlZHA1diZzPWpwNiZ0PW0mdT0xbGwxMDQ1MWM1OWcwJmk9MA/m470x470,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/18/37/47/18374759-a073-88df-dcc9-2ac1b1abcc57/888735956423.png/300x300bb.jpg,https://i.ytimg.com/vi/SX0NYVQh7BE/mqdefault.jpg
2,trk_c555c691638f,BIGBANG,BANG BANG BANG,YG,YG Entertainment,0.451807,3.0,58.0,55.0,0,846124194,8114868,422137,1,line,2ips2mM7Zqw,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c53601ad1t05d963f8/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c19cb5447t071f82d3/m470x470,https://i.ytimg.com/vi/2ips2mM7Zqw/mqdefault.jpg
3,trk_3a142cc144d6,BIGBANG,FANTASTIC BABY,YG,YG Entertainment,0.445309,4.0,75.0,71.0,0,671817452,5413618,422317,1,line,AAbokV76tkU,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c53601ad1t05d963f8/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj02bm1qdG43a2JndGpzJnM9anA2JnQ9bSZ1PTFnNm5hYWVubzRsMDAmaT0w/m470x470,https://i.ytimg.com/vi/AAbokV76tkU/mqdefault.jpg
4,trk_e13ef882cbb0,BABYMONSTER,PSYCHO,YG,YG Entertainment,0.411562,3.0,31.0,28.0,0,212244526,1565539,68138,1,line,yAXnEHFKKaY,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xdWJwNWVqcWFsZXFjJnM9anA2JnQ9bSZ1PTFoaWk5YTRxczNrMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj01bDkzYXA2cnBpM2VoJnM9anA2JnQ9bSZ1PTFpZnUyZnRybzR0MDAmaT0w/m470x470,https://i.ytimg.com/vi/yd_uG3TtREs/mqdefault.jpg
5,trk_cce67484bca4,BABYMONSTER,WE GO UP,YG,YG Entertainment,0.407555,7.0,124.0,117.0,0,221334955,1431098,100473,2,line|spaceshower,wlHwjkYpSr0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xdWJwNWVqcWFsZXFjJnM9anA2JnQ9bSZ1PTFoaWk5YTRxczNrMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj01bDkzYXA2cnBpM2VoJnM9anA2JnQ9bSZ1PTFpZnUyZnRybzR0MDAmaT0w/m470x470,https://i.ytimg.com/vi/wlHwjkYpSr0/mqdefault.jpg
6,trk_fac54e58f5b3,BABYMONSTER,I LIKE IT,YG,YG Entertainment,0.399508,8.0,62.0,54.0,0,87670850,863727,55640,1,line,WSpEKdb7xi0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xdWJwNWVqcWFsZXFjJnM9anA2JnQ9bSZ1PTFoaWk5YTRxczNrMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0ydnVqYjJqa2RjYmplJnM9anA2JnQ9bSZ1PTFramNyYnYyODRvMDAmaT0w/m470x470,https://i.ytimg.com/vi/9cS2wv6AfHk/mqdefault.jpg
7,trk_a7032e8e6f36,BABYMONSTER,춤 (CHOOM),YG,YG Entertainment,0.383914,0.0,174.0,174.0,0,179706807,1538394,108753,2,line|spaceshower,U_jAcFKeY_c,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xdWJwNWVqcWFsZXFjJnM9anA2JnQ9bSZ1PTFoaWk5YTRxczNrMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0ydnVqYjJqa2RjYmplJnM9anA2JnQ9bSZ1PTFramNyYnYyODRvMDAmaT0w/m470x470,https://i.ytimg.com/vi/x3eqqoZPV_E/mqdefault.jpg
8,trk_92d2f00a715a,NewJeans,Hype Boy,HYBE,ADOR,0.379377,-2.0,169.0,171.0,0,39106120,2271791,20256,1,apple_kr,KrtYasOGibU,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Big_Hit_Music_Logo.svg/330px-Big_Hit_Music_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zYWl1YTM2NDlnYzgyJnM9anA2JnQ9bSZ1PTFsbWVldmFpazU0ZzAmaT0w/m470x470,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/300x300bb.jpg,https://i.ytimg.com/vi/KrtYasOGibU/mqdefault.jpg
9,trk_69c5375146af,ATEEZ,BAD,OTHER,KQ Entertainment,0.377307,12.0,644.0,632.0,0,12958329,687103,6539,4,apple_jp|apple_kr|line|spaceshower,z0s8bjdJbKI,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNWtiMmVqamt2cHJrdiZzPWpwNiZ0PW0mdT0xbDZtZ2p2YXM0azAwJmk9MA/m470x470,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/84/f5/fb/84f5fb23-0194-b302-15f7-e768c9029a28/26UMGIM64142.rgb.jpg/300x300bb.jpg,https://i.ytimg.com/vi/9qYbGdaQ47A/mqdefault.jpg
10,trk_69015eb1489e,BABYMONSTER,SUGAR HONEY ICE TEA,YG,YG Entertainment,0.370993,0.0,102.0,102.0,0,126006462,1141310,90910,1,line,naoGk-Zjc1s,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xdWJwNWVqcWFsZXFjJnM9anA2JnQ9bSZ1PTFoaWk5YTRxczNrMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0za2w2bjdlbDN0ZmFwJnM9anA2JnQ9bSZ1PTFrdG9sNmVwYzNjZzAmaT0w/m470x470,https://i.ytimg.com/vi/naoGk-Zjc1s/mqdefault.jpg
11,trk_4da487262df5,BLACKPINK,JUMP,YG,YG Entertainment,0.348072,2.0,95.0,93.0,0,14413556,595601,8215,1,line,yQhbf7BW_wI,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/YG_Entertainment_Logo.svg/330px-YG_Entertainment_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj00Zjg3czU2M3ZkczloJnM9anA2JnQ9bSZ1PTFsMTF1MzRiODNoMDAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj02ODc2c2lucWJnODdjJnM9anA2JnQ9bSZ1PTFoa3FvMXVwazNiMDAmaT0w/m470x470,https://i.ytimg.com/vi/23U0c8vtTh0/mqdefault.jpg
12,trk_df78abcac274,BTS,Come Over,HYBE,BIGHIT MUSIC,0.330845,-11.0,2.0,13.0,0,15038092,1081710,71038,1,line,MEoxtFRfPoc,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Big_Hit_Music_Logo.svg/330px-Big_Hit_Music_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zMTYxdWdqa2FzcHJuJnM9anA2JnQ9bSZ1PTFrNzVsZTJvODUwZzAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zOXNpMTBpcnBqcmJxJnM9anA2JnQ9bSZ1PTFsMjdyZzN1ODViZzAmaT0w/m470x470,https://i.ytimg.com/vi/MEoxtFRfPoc/mqdefault.jpg
13,trk_d4d46923b488,BTS,2.0,HYBE,BIGHIT MUSIC,0.326355,0.0,120.0,120.0,0,3222571,431938,17942,1,line,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Big_Hit_Music_Logo.svg/330px-Big_Hit_Music_Logo.svg.png,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zMTYxdWdqa2FzcHJuJnM9anA2JnQ9bSZ1PTFrNzVsZTJvODUwZzAmaT0w/m470x470,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,https://i.ytimg.com/vi/rL4G9V7mbtg/mqdefault.jpg
