date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-22,2026-08-22,(未登録),3,50,6.0
2026-08-22,2026-08-22,HYBE,20,50,40.0
2026-08-22,2026-08-22,JYP,4,50,8.0
2026-08-22,2026-08-22,OTHER,4,50,8.0
2026-08-22,2026-08-22,SM,6,50,12.0
2026-08-22,2026-08-22,YG,13,50,26.0
