date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-12,2026-09-12,(未登録),7,50,14.0
2026-09-12,2026-09-12,HYBE,18,50,36.0
2026-09-12,2026-09-12,JYP,4,50,8.0
2026-09-12,2026-09-12,OTHER,4,50,8.0
2026-09-12,2026-09-12,SM,6,50,12.0
2026-09-12,2026-09-12,YG,11,50,22.0
