date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-09,2026-08-09,(未登録),3,50,6.0
2026-08-09,2026-08-09,HYBE,19,50,38.0
2026-08-09,2026-08-09,JYP,9,50,18.0
2026-08-09,2026-08-09,OTHER,2,50,4.0
2026-08-09,2026-08-09,SM,7,50,14.0
2026-08-09,2026-08-09,YG,10,50,20.0
