date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-18,2026-09-18,(未登録),5,50,10.0
2026-09-18,2026-09-18,HYBE,20,50,40.0
2026-09-18,2026-09-18,JYP,3,50,6.0
2026-09-18,2026-09-18,OTHER,3,50,6.0
2026-09-18,2026-09-18,SM,6,50,12.0
2026-09-18,2026-09-18,YG,13,50,26.0
