date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-20,2026-08-20,(未登録),4,50,8.0
2026-08-20,2026-08-20,HYBE,19,50,38.0
2026-08-20,2026-08-20,JYP,4,50,8.0
2026-08-20,2026-08-20,OTHER,5,50,10.0
2026-08-20,2026-08-20,SM,7,50,14.0
2026-08-20,2026-08-20,YG,11,50,22.0
