date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-07-27,2026-07-26,(未登録),5,50,10.0
2026-07-27,2026-07-26,HYBE,19,50,38.0
2026-07-27,2026-07-26,JYP,4,50,8.0
2026-07-27,2026-07-26,OTHER,3,50,6.0
2026-07-27,2026-07-26,SM,9,50,18.0
2026-07-27,2026-07-26,YG,10,50,20.0
