date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-06,2026-08-05,(未登録),4,50,8.0
2026-08-06,2026-08-05,HYBE,20,50,40.0
2026-08-06,2026-08-05,JYP,3,50,6.0
2026-08-06,2026-08-05,OTHER,3,50,6.0
2026-08-06,2026-08-05,SM,9,50,18.0
2026-08-06,2026-08-05,YG,11,50,22.0
