date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-25,2026-08-25,(未登録),4,50,8.0
2026-08-25,2026-08-25,HYBE,20,50,40.0
2026-08-25,2026-08-25,JYP,4,50,8.0
2026-08-25,2026-08-25,OTHER,4,50,8.0
2026-08-25,2026-08-25,SM,7,50,14.0
2026-08-25,2026-08-25,YG,11,50,22.0
