date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-02,2026-08-01,(未登録),5,50,10.0
2026-08-02,2026-08-01,HYBE,20,50,40.0
2026-08-02,2026-08-01,JYP,4,50,8.0
2026-08-02,2026-08-01,OTHER,2,50,4.0
2026-08-02,2026-08-01,SM,8,50,16.0
2026-08-02,2026-08-01,YG,11,50,22.0
