date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-09-07,2026-09-07,(未登録),6,50,12.0
2026-09-07,2026-09-07,HYBE,17,50,34.0
2026-09-07,2026-09-07,JYP,3,50,6.0
2026-09-07,2026-09-07,OTHER,5,50,10.0
2026-09-07,2026-09-07,SM,7,50,14.0
2026-09-07,2026-09-07,YG,12,50,24.0
