date,chart_date,agency,charted_tracks,chart_size,share_pct
2026-08-14,2026-08-14,(未登録),3,50,6.0
2026-08-14,2026-08-14,HYBE,19,50,38.0
2026-08-14,2026-08-14,JYP,3,50,6.0
2026-08-14,2026-08-14,OTHER,5,50,10.0
2026-08-14,2026-08-14,SM,9,50,18.0
2026-08-14,2026-08-14,YG,11,50,22.0
